date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-03-30,_WORLD,2331428,451590,95605,1784233,1833562,67985,2263443,108335,48079,79310,0.3074,60857,0,2080,106255,327,1622,32934,11642,1554,0.2328594400132797,0.23580776683953922,0.08299758638739155,0.24052416723092623,0.320972948397363,0.28896045804258363,0.3226869503573276,0.0084,798235,65294,39727,4079,3949893,254465,,,
2020-03-31,_WORLD,2288849,448198,95014,1745637,1814180,65898,2222951,103173,46192,81293,0.3093,65785,0,1839,101334,119,1689,31905,10860,1619,0.2559645695371782,0.2617107062088917,0.11364290926897055,0.2508878346119408,0.3276100562009692,0.25480203841630733,0.33138984706492874,0.0076,875080,76845,44482,4755,4898936,331101,,,
2020-04-01,_WORLD,2310088,461308,96132,1752648,1815778,66008,2244080,99736,54172,72119,0.352,56027,0,1760,97976,182,2961,38389,11417,1223,0.20283867742860748,0.18947684102839582,0.07838719424230645,0.2834470141278575,0.3777082598444201,0.28021870728373366,0.3825739486379806,-0.0091,957865,82785,50522,6040,5275615,482931,,,
2020-04-02,_WORLD,2310671,465980,97333,1747358,1839101,68450,2242221,105364,50389,73785,0.3235,58640,0,2187,103177,113,2531,35671,10350,1724,0.21190476661552082,0.20604970664865754,0.04020295961147805,0.28268015848964206,0.34744830415244915,0.265016311648436,0.35165750458104283,0.0053,1040928,83063,56409,5887,5832916,513438,,,
2020-04-03,_WORLD,2303296,465892,100542,1736862,1837753,68999,2234297,116120,57409,87116,0.3308,67134,0,2542,113578,165,2583,40937,11911,1813,0.2625665596602277,0.2608636046869647,0.17475998256310438,0.2791965409188668,0.35486609365689614,0.270863309352518,0.35885969337585827,-0.0078,1124479,83551,62570,6161,6429097,508018,,,
2020-04-04,_WORLD,2255135,414693,102994,1737448,1798697,51401,2203734,109897,51114,79116,0.3175,59757,0,2750,107147,112,2430,34389,12570,1613,0.2354554732343432,0.22742819609323583,0.11670969514845922,0.29183031787209673,0.3376936225235358,0.28201193520886614,0.34074433898811746,,1182868,58389,68486,5916,6449012,446884,,,
2020-04-05,_WORLD,2254317,415958,106011,1732348,1787759,51143,2203174,114483,57256,75541,0.3334,53458,0,2439,112044,94,7968,33478,13813,1903,0.22100011998672908,0.21775677802177315,0.1740467807460298,0.23896453191005912,0.35549235106986377,0.2708015848826577,0.36032114276777105,,1255460,72592,73674,5188,9208704,446686,,,
2020-04-06,_WORLD,2324263,470081,103335,1750847,1839093,70869,2253394,123231,58487,79293,0.3219,59373,0,2763,120468,105,12159,32653,12117,1453,0.25189858645513874,0.25498342268952295,0.15685535294088784,0.2457076623354102,0.34960453035054057,0.2700334554723594,0.35370104572483085,0.0214,1328603,73143,79616,5942,8211873,436835,,,
2020-04-07,_WORLD,2354180,485979,103512,1764689,1881516,75679,2278501,127296,55077,82943,0.302,64537,0,2288,125008,265,2204,39181,11890,1537,0.21449941123411184,0.2084059058834856,0.16742009618242124,0.2522657415566833,0.3145356820589274,0.2811517458216118,0.31619742673102585,0.0035,1398432,69829,87881,8265,8879426,597514,,,
2020-04-08,_WORLD,2334406,492627,107368,1734411,1876757,75344,2259062,126373,50412,89393,0.2852,69219,0,2276,124097,184,1626,35653,11698,1251,0.2444993800566273,0.24141189221087292,0.2664022711672751,0.2585126119599802,0.2937188597565956,0.25909479077711356,0.29545785974694405,0.0054,1481787,83355,94688,6807,9625639,589482,,,
