date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-12-17,TUR,14554,4623,972,8959,10643,326,14228,291,92,338,0.2402,163,0,19,272,0,33,37,15,7,0.185,0.2014,0.0008,0.1575,0.257,0.1,0.2647,,1955680.0,27515.0,17364.0,243.0,21901694.0,206102.0,,,
2020-12-18,TUR,13376,4139,909,8328,9937,292,13084,201,179,218,0.4711,137,0,13,188,0,16,28,132,3,0.1809,0.1631,0.1194,0.2089,0.4699,0.2353,0.4871,,1982090.0,26410.0,17610.0,246.0,22107503.0,205809.0,,,
2020-12-19,TUR,16309,5361,1105,9843,12482,288,16021,225,52,215,0.1877,144,0,15,210,0,12,31,5,4,0.1043,0.0475,0.0649,0.2491,0.2083,0.1818,0.2102,,2004285.0,22195.0,17851.0,241.0,22280635.0,173132.0,,,
2020-12-20,TUR,21919,7410,1571,12938,17401,304,21615,313,48,383,0.133,314,0,5,308,0,4,29,9,6,0.2669,0.059,0.0003,0.4336,0.1402,0.05,0.1495,,2024601.0,20316.0,18097.0,246.0,22439527.0,158892.0,,,
2020-12-21,TUR,24532,8972,1690,13870,19527,424,24108,255,85,365,0.25,242,0,6,249,0,36,34,10,5,0.0986,0.0384,0.3552,0.1198,0.3,0.2143,0.3068,,2043704.0,19103.0,18351.0,254.0,22635637.0,196110.0,,,
2020-12-22,TUR,16780,5369,1131,10280,12677,326,16454,236,53,324,0.1834,248,0,14,222,0,11,23,12,7,0.0895,0.0491,0.0014,0.2377,0.1796,0.1111,0.1835,,2062960.0,19256.0,18602.0,251.0,22827953.0,192316.0,,,
2020-12-23,TUR,15113,4437,1144,9532,11288,341,14772,200,72,950,0.2647,896,0,12,188,0,5,40,19,8,0.2187,0.2065,0.5267,0.2723,0.3394,0.4545,0.3312,,2082610.0,19650.0,18861.0,259.0,23030162.0,202209.0,,,
2020-12-24,TUR,13050,3727,1067,8256,9725,285,12765,235,40,350,0.1455,261,0,9,226,0,4,15,8,13,0.0771,0.0471,0.0,0.1534,0.1818,0.0,0.1944,,2100712.0,18102.0,19115.0,254.0,23225837.0,195675.0,,,
2020-12-25,TUR,14776,4625,1436,8715,12050,243,14533,182,47,239,0.2052,175,0,12,170,0,20,15,7,5,0.1063,0.0921,0.0057,0.2949,0.3008,0.1818,0.3125,,2118255.0,17543.0,19371.0,256.0,23426941.0,201104.0,,,
2020-12-26,TUR,14765,4265,1172,9328,11719,240,14525,151,48,222,0.2412,117,0,3,148,0,19,10,14,5,0.0645,0.0307,0.0026,0.2021,0.2955,0.0625,0.3276,,2133373.0,15118.0,19624.0,253.0,23605813.0,178872.0,,,
2020-12-27,TUR,14245,3952,1196,9097,10232,239,14006,259,40,202,0.1338,122,0,10,249,0,12,15,9,4,0.19,0.2493,0.3253,0.1253,0.1742,0.0667,0.184,,2147578.0,14205.0,19878.0,254.0,23777926.0,172113.0,,,
2020-12-28,TUR,17552,3963,1134,12455,14240,269,17283,187,142,248,0.4316,175,0,23,164,0,30,17,83,12,0.1989,0.0508,0.0641,0.6362,0.5619,0.4,0.5694,,2162775.0,15197.0,20135.0,257.0,23958818.0,180892.0,,,
2020-12-29,TUR,10737,3402,888,6447,7242,243,10494,188,87,226,0.3164,152,0,8,180,0,8,21,47,11,0.328,0.356,0.0035,0.3977,0.3421,0.0714,0.3636,,2178580.0,15805.0,20388.0,253.0,24141935.0,183117.0,,,
2020-12-30,TUR,12069,3619,940,7510,8460,290,11779,352,149,319,0.2974,260,0,23,329,1,59,66,15,8,0.5513,0.5392,0.5538,0.5712,0.3187,0.1538,0.3248,,2194272.0,15692.0,20642.0,254.0,24326350.0,184415.0,,,
2020-12-31,TUR,11651,3813,934,6904,7770,268,11383,186,95,251,0.3381,202,0,15,171,0,18,49,20,8,0.3206,0.2993,0.4657,0.321,0.3416,0.8,0.3299,,2208652.0,14380.0,20881.0,239.0,24504567.0,178217.0,,,
2021-01-01,TUR,9997,3163,817,6017,6276,159,9838,190,38,148,0.1667,99,0,3,187,0,3,25,9,1,0.0493,0.02,0.0077,0.0775,0.1776,0.1429,0.1812,,2220855.0,12203.0,21093.0,212.0,24662670.0,158103.0,,,
2021-01-02,TUR,10931,2997,1081,6853,7607,198,10733,309,31,207,0.0912,137,0,8,301,0,4,14,6,7,0.0158,0.0071,0.3979,0.0311,0.1073,0.1579,0.1022,,2232035.0,11180.0,21295.0,202.0,24811888.0,149218.0,,,
2021-01-03,TUR,11985,3165,981,7839,8577,207,11778,416,36,240,0.0796,153,0,2,414,0,6,13,11,6,0.6963,0.4831,0.0309,0.7522,0.0754,0.0909,0.0749,,2241912.0,9877.0,21488.0,193.0,24950829.0,138941.0,,,
2021-01-04,TUR,9153,2663,751,5739,5627,188,8965,193,42,200,0.1787,113,0,6,187,0,0,12,27,3,0.1189,0.0649,0.1044,0.1464,0.2179,0.4444,0.2041,,2255607.0,13695.0,21685.0,197.0,25132152.0,181323.0,,,
